,Sensor_ID,Hour,Count,Average,Latitude,Longitude,Name
203,44,14,381361,27240.071428571428,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
204,44,2,10245,731.7857142857143,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
205,44,3,6500,464.2857142857143,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
206,44,4,5312,379.42857142857144,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
207,44,5,12191,870.7857142857143,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
208,44,6,41800,2985.714285714286,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
209,44,7,108533,7752.357142857143,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
210,44,8,278674,19905.285714285714,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
211,44,9,321643,22974.5,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
212,44,11,347277,24805.5,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
213,44,12,408775,29198.214285714286,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
214,44,13,436032,31145.14285714286,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
215,44,15,398596,28471.14285714286,-37.79690473,144.96440378,Tin Alley-Swanston St (West)
216,35,17,6972691,498049.35714285716,-37.82017828,144.96508877,Southbank
217,35,18,5977137,426938.35714285716,-37.82017828,144.96508877,Southbank
218,35,19,4649628,332116.28571428574,-37.82017828,144.96508877,Southbank
219,35,16,5294815,378201.0714285714,-37.82017828,144.96508877,Southbank
220,35,20,3905365,278954.64285714284,-37.82017828,144.96508877,Southbank
221,35,10,2946596,210471.14285714287,-37.82017828,144.96508877,Southbank
222,35,21,3352086,239434.7142857143,-37.82017828,144.96508877,Southbank
223,35,22,2738746,195624.7142857143,-37.82017828,144.96508877,Southbank
224,35,23,1710958,122211.28571428571,-37.82017828,144.96508877,Southbank
225,35,0,800716,57194.0,-37.82017828,144.96508877,Southbank
226,35,1,415386,29670.428571428572,-37.82017828,144.96508877,Southbank
227,35,14,4741306,338664.71428571426,-37.82017828,144.96508877,Southbank
228,35,2,214066,15290.42857142857,-37.82017828,144.96508877,Southbank
229,35,3,130362,9311.57142857143,-37.82017828,144.96508877,Southbank
230,35,4,103059,7361.357142857143,-37.82017828,144.96508877,Southbank
231,35,5,265833,18988.071428571428,-37.82017828,144.96508877,Southbank
232,35,6,1081358,77239.85714285714,-37.82017828,144.96508877,Southbank
233,35,7,2143191,153085.07142857142,-37.82017828,144.96508877,Southbank
234,35,8,4218967,301354.78571428574,-37.82017828,144.96508877,Southbank
235,35,9,3042821,217344.35714285713,-37.82017828,144.96508877,Southbank
236,35,11,3645551,260396.5,-37.82017828,144.96508877,Southbank
237,35,12,5527500,394821.4285714286,-37.82017828,144.96508877,Southbank
238,35,13,5626902,401921.5714285714,-37.82017828,144.96508877,Southbank
239,35,15,4715793,336842.35714285716,-37.82017828,144.96508877,Southbank
240,45,17,2513962,179568.7142857143,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
241,45,18,2095296,149664.0,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
242,45,19,1734948,123924.85714285714,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
243,45,16,2271418,162244.14285714287,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
244,45,20,1555266,111090.42857142857,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
245,45,10,1115022,79644.42857142857,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
246,45,21,1328794,94913.85714285714,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
247,45,22,968014,69143.85714285714,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
248,45,23,587493,41963.78571428572,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
249,45,0,319227,22801.928571428572,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
250,45,1,201164,14368.857142857143,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
251,45,14,2332870,166633.57142857142,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
252,45,2,124989,8927.785714285714,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
253,45,3,91338,6524.142857142857,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
254,45,4,58057,4146.928571428572,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
255,45,5,74393,5313.785714285715,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
256,45,6,161401,11528.642857142857,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
257,45,7,426556,30468.285714285714,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
258,45,8,875970,62569.28571428572,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
259,45,9,882785,63056.07142857143,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
260,45,11,1510423,107887.35714285714,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
261,45,12,2374065,169576.07142857142,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
262,45,13,2651003,189357.35714285713,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
263,45,15,2258403,161314.5,-37.81414075,144.96609379,Little Collins St-Swanston St (East)
264,46,17,291970,20855.0,-37.80240719,144.9615673,Pelham St (South)
265,46,18,215554,15396.714285714286,-37.80240719,144.9615673,Pelham St (South)
