ogc_fid,Longitude,x_coordinate_address,x_coordinate_zip,property_id,street_name,x_coordinate_city,census_year,Latitude,parking_type,block_id,clue_small_area,parking_spaces,base_property_id,x_coordinate_state,FID,Area of Interest
93135,144.9453854,,,100034,239 Abbotsford Street,,2017,-37.80164338,Residential,334,North Melbourne,1,100034,,com_clue_offstreet_car_parking_2017.93135,Off Street Parking
93137,144.9535109,,,107895,419-421 Queensberry Street,,2017,-37.80372614,Residential,356,North Melbourne,2,107895,,com_clue_offstreet_car_parking_2017.93137,Off Street Parking
93139,144.9877739,,,104321,79 Gipps Street,,2017,-37.81350099,Residential,609,East Melbourne,1,104321,,com_clue_offstreet_car_parking_2017.93139,Off Street Parking
93140,144.9765098,,,111469,33-61 Cathedral Place,,2017,-37.81131183,Commercial,651,East Melbourne,200,111469,,com_clue_offstreet_car_parking_2017.93140,Off Street Parking
93141,144.9633054,,,109385,458-460 Swanston Street,,2017,-37.8061315,Private,265,Carlton,2,109385,,com_clue_offstreet_car_parking_2017.93141,Off Street Parking
93142,144.9899913,,,100383,36 Albert Street,,2017,-37.81076997,Residential,601,East Melbourne,1,100383,,com_clue_offstreet_car_parking_2017.93142,Off Street Parking
93144,144.9535487,,,109861,48-50 Villiers Street,,2017,-37.79947553,Residential,377,North Melbourne,2,109861,,com_clue_offstreet_car_parking_2017.93144,Off Street Parking
93145,144.9592234,,,110149,90-96 William Street,,2017,-37.81698718,Private,33,Melbourne (CBD),9,110149,,com_clue_offstreet_car_parking_2017.93145,Off Street Parking
93147,144.953453,,,109963,2 Warwick Street,,2017,-37.80434736,Residential,356,North Melbourne,1,109963,,com_clue_offstreet_car_parking_2017.93147,Off Street Parking
93148,144.9499461,,,101862,20 Chapman Street,,2017,-37.79697238,Residential,353,North Melbourne,6,101862,,com_clue_offstreet_car_parking_2017.93148,Off Street Parking
93149,144.9492736,,,598590,720-750 Collins Street,,2017,-37.81999404,Commercial,1105,Docklands,430,598590,,com_clue_offstreet_car_parking_2017.93149,Off Street Parking
93150,144.9444341,,,102840,407 Dryburgh Street,,2017,-37.79592789,Residential,306,North Melbourne,1,102840,,com_clue_offstreet_car_parking_2017.93150,Off Street Parking
93151,144.9848107,,,104341,171-173 Gipps Street,,2017,-37.81322231,Residential,616,East Melbourne,1,104341,,com_clue_offstreet_car_parking_2017.93151,Off Street Parking
93152,144.9605306,,,105738,394-400 Lonsdale Street,,2017,-37.81240787,Residential,74,Melbourne (CBD),12,105738,,com_clue_offstreet_car_parking_2017.93152,Off Street Parking
93153,144.9477508,,,108933,560 Spencer Street,,2017,-37.80722327,Private,420,West Melbourne (Residential),9,108933,,com_clue_offstreet_car_parking_2017.93153,Off Street Parking
93154,144.9713867,,,105669,23-33 Lonsdale Street,,2017,-37.80988424,Private,68,Melbourne (CBD),59,105669,,com_clue_offstreet_car_parking_2017.93154,Off Street Parking
