,Lastupdated,Status_Timestamp,Zone_Number,Status_Description,Parkingbay_ID,Latitude,Longitude,Area of Interest
1129,2023-10-10T21:20:20+11:00,2023-10-10T19:12:05+11:00,,Present,22558,-37.81502777,144.9565281,On Street Parking
1130,2023-10-10T21:20:20+11:00,2023-10-10T21:08:09+11:00,7636,Present,51733,-37.8151535,144.96917989417204,On Street Parking
1131,2023-10-10T21:20:20+11:00,2023-10-10T14:48:17+11:00,7594,Present,7059,-37.81442544,144.96043539637705,On Street Parking
1132,2023-10-10T21:20:20+11:00,2023-10-10T18:41:51+11:00,7594,Present,7065,-37.81459292,144.96051235521537,On Street Parking
1133,2023-10-10T21:20:20+11:00,2023-10-10T18:34:24+11:00,7594,Present,7054,-37.81428287,144.96036959640347,On Street Parking
1134,2023-10-10T21:20:20+11:00,2023-10-10T18:03:45+11:00,7594,Present,7063,-37.81454637,144.9604909343941,On Street Parking
1135,2023-10-10T21:20:20+11:00,2023-10-10T21:00:32+11:00,7594,Unoccupied,7053,-37.81426002,144.96035910577118,On Street Parking
1136,2023-10-10T21:20:20+11:00,2023-10-10T20:35:14+11:00,7594,Present,7058,-37.81440089,144.96042410187692,On Street Parking
1137,2023-10-10T21:20:20+11:00,2023-10-10T21:13:57+11:00,7594,Unoccupied,7061,-37.81447198,144.9604568171329,On Street Parking
1138,2023-10-10T21:20:20+11:00,2023-09-07T08:38:46+10:00,7608,Present,8068,-37.81550246,144.96092937375408,On Street Parking
1139,2023-10-10T21:20:20+11:00,2023-09-01T06:23:40+10:00,7608,Unoccupied,8070,-37.81558445,144.96096722232485,On Street Parking
1140,2023-10-10T21:20:20+11:00,2023-08-12T07:16:23+10:00,7608,Unoccupied,8064,-37.81536613,144.96086688449344,On Street Parking
1141,2023-10-10T21:20:20+11:00,2023-10-10T04:47:08+11:00,7595,Unoccupied,6141,-37.81618076,144.96124142052497,On Street Parking
1142,2023-10-10T21:20:20+11:00,2023-10-10T07:37:52+11:00,7595,Present,6140,-37.8161596,144.9612316737149,On Street Parking
