day_of_week,Hour_Pres,Count,Average
Thursday,19:00,144471,395.8109589041096
Thursday,20:00,161300,441.9178082191781
Thursday,21:00,97437,266.9506849315068
Thursday,22:00,87280,239.12328767123287
Thursday,23:00,71732,196.52602739726024
Tuesday,00:00,93952,257.4027397260274
Tuesday,01:00,23124,63.35342465753425
Tuesday,02:00,19653,53.84383561643836
Tuesday,03:00,18185,49.821917808219176
Tuesday,04:00,22277,61.032876712328765
Tuesday,05:00,47306,129.6054794520548
Tuesday,06:00,100930,276.52054794520546
Tuesday,07:00,232618,637.3095890410959
Tuesday,08:00,214760,588.3835616438356
Tuesday,09:00,234858,643.4465753424657
Tuesday,10:00,211275,578.8356164383562
Tuesday,11:00,204437,560.1013698630137
Tuesday,12:00,204912,561.4027397260274
Tuesday,13:00,198685,544.3424657534247
Tuesday,14:00,191165,523.7397260273973
Tuesday,15:00,189944,520.3945205479451
Tuesday,16:00,207434,568.3123287671233
Tuesday,17:00,247198,677.254794520548
Tuesday,18:00,280122,767.4575342465754
Tuesday,19:00,140167,384.0191780821918
Tuesday,20:00,150453,412.2
Tuesday,21:00,89474,245.13424657534247
Tuesday,22:00,74512,204.14246575342463
Tuesday,23:00,59784,163.7917808219178
Wednesday,00:00,98733,270.5013698630137
Wednesday,01:00,24106,66.04383561643836
Wednesday,02:00,20452,56.032876712328765
Wednesday,03:00,18855,51.65753424657535
Wednesday,04:00,22362,61.26575342465753
Wednesday,05:00,46840,128.32876712328766
Wednesday,06:00,101709,278.654794520548
Wednesday,07:00,234021,641.1534246575343
Wednesday,08:00,214691,588.1945205479452
Wednesday,09:00,229698,629.3095890410959
Wednesday,10:00,203658,557.9671232876713
Wednesday,11:00,198310,543.3150684931506
Wednesday,12:00,199629,546.9287671232877
Wednesday,13:00,193305,529.6027397260274
Wednesday,14:00,190308,521.3917808219178
Wednesday,15:00,192608,527.6931506849315
Wednesday,16:00,215134,589.4082191780822
Wednesday,17:00,258731,708.8520547945205
Wednesday,18:00,302132,827.758904109589
Wednesday,19:00,150217,411.5534246575343
Wednesday,20:00,165371,453.0712328767123
Wednesday,21:00,97689,267.6410958904109
Wednesday,22:00,82867,227.0328767123288
Wednesday,23:00,66024,180.8876712328767
